Set 0
 	Splay	RB	AVL	Trie
10000	0.011873	0.015694	0.013219	0.016721
50000	0.060662	0.077598	0.063485	0.071371
100000	0.119806	0.153530	0.125420	0.139529
200000	0.241538	0.307925	0.251421	0.282390
300000	0.362866	0.464495	0.378321	0.426954
400000	0.483981	0.619122	0.505535	0.571953
500000	0.602482	0.768629	0.628907	0.697597
600000	0.723030	0.914851	0.752184	0.838798
700000	0.842784	1.054742	0.871266	0.956222
800000	0.960332	1.185565	0.984768	1.075077
900000	1.082427	1.327737	1.106315	1.202237
1000000	1.187488	1.441210	1.209969	1.314588
Set 1
 	Splay	RB	AVL	Trie
10000	0.011124	0.014196	0.012178	0.013921
50000	0.057196	0.073424	0.059511	0.063931
100000	0.114708	0.146326	0.118655	0.125040
200000	0.230785	0.292199	0.236537	0.249148
300000	0.348493	0.441492	0.358508	0.385775
400000	0.464350	0.588339	0.477636	0.512490
500000	0.580207	0.738033	0.595412	0.630344
600000	0.697396	0.890104	0.715722	0.774259
700000	0.811793	1.035120	0.836398	0.890967
800000	0.928570	1.180086	0.952568	1.018189
900000	1.048013	1.332834	1.079483	1.164748
1000000	1.158976	1.474829	1.192671	1.273613
Set 2
 	Splay	RB	AVL	Trie
10000	0.011460	0.016379	0.012518	0.014625
50000	0.060825	0.081457	0.061986	0.068168
100000	0.121465	0.163175	0.122962	0.134940
200000	0.241152	0.325154	0.245486	0.265415
300000	0.362797	0.490544	0.367763	0.406238
400000	0.484557	0.655477	0.491991	0.539361
500000	0.602645	0.812082	0.610412	0.666737
600000	0.726366	0.979016	0.737393	0.806123
700000	0.840103	1.138211	0.854152	0.931003
800000	0.959810	1.297836	0.973854	1.065492
900000	1.084629	1.468715	1.096314	1.202871
1000000	1.239580	1.672536	1.240273	1.409750
