Set 0
 	Splay	RB	AVL	Trie
10000	0.012166	0.016062	0.013068	0.016667
50000	0.061402	0.077359	0.063048	0.073040
100000	0.124234	0.154959	0.124692	0.144855
200000	0.246472	0.308812	0.249588	0.285434
300000	0.368992	0.462925	0.374295	0.435928
400000	0.491552	0.613873	0.497954	0.568258
500000	0.615080	0.765839	0.618660	0.699824
600000	0.733091	0.907043	0.737302	0.825188
700000	0.855669	1.045570	0.855437	0.947871
800000	0.968573	1.172631	0.963774	1.065801
900000	1.087027	1.300289	1.081978	1.179665
1000000	1.200346	1.432204	1.198703	1.300488
Set 1
 	Splay	RB	AVL	Trie
10000	0.011934	0.014864	0.012367	0.015460
50000	0.055672	0.072543	0.059122	0.063836
100000	0.110447	0.143981	0.116293	0.123138
200000	0.224422	0.292636	0.234963	0.254312
300000	0.338064	0.434782	0.349983	0.375970
400000	0.450946	0.579965	0.467986	0.500578
500000	0.563020	0.725766	0.585017	0.624814
600000	0.674031	0.874610	0.702230	0.760953
700000	0.784758	1.013486	0.818936	0.875862
800000	0.898299	1.163013	0.937722	1.004877
900000	1.017375	1.315025	1.059036	1.135670
1000000	1.115643	1.446262	1.163196	1.242149
Set 2
 	Splay	RB	AVL	Trie
10000	0.012430	0.016276	0.012562	0.015668
50000	0.060709	0.079268	0.060226	0.066518
100000	0.121966	0.160931	0.119674	0.130311
200000	0.243173	0.322009	0.240628	0.267790
300000	0.364821	0.480177	0.359006	0.395946
400000	0.487041	0.644057	0.480266	0.527787
500000	0.610943	0.806934	0.599870	0.663339
600000	0.727373	0.962782	0.715475	0.788207
700000	0.851971	1.130319	0.838039	0.925272
800000	0.971700	1.287935	0.955790	1.051625
900000	1.101276	1.466143	1.086231	1.196340
1000000	1.219548	1.619890	1.198228	1.322875
